ion elm Tcond [X/H] error
6  C    40 -0.103 8.3267e-03
8  O   180 -0.060 8.3533e-03
11 Na  958 -0.117 4.9103e-03
12 Mg 1336 -0.062 1.2204e-02
13 Al 1653 -0.098 2.7000e-02
14 Si 1310 -0.069 4.0784e-03
16 S   664 -0.060 2.5500e-02
19 K  1006 -0.052 0.015
20 Ca 1517 -0.050 6.1607e-03
21 Sc 1659 -0.101 5.4314e-03
22 Ti 1582 -0.064 2.5091e-03
23 V  1429 -0.093 8.1408e-03
24 Cr 1296 -0.056 3.9005e-03
25 Mn 1158 -0.112 8.3297e-03
26 Fe 1334 -0.068 1.3065e-03
27 Co 1352 -0.128 9.1859e-03
28 Ni 1353 -0.105 2.8850e-03
29 Cu 1037 -0.138 2.1282e-02
30 Zn  726 -0.112 4.0415e-03
38 Sr 1464 -0.027 0.015
39 Y  1659 -0.005 1.0600e-02
40 Zr 1741 -0.115 0.015
56 Ba 1455  0.036 1.1676e-02
57 La 1578  0.041 7.0000e-03
58 Ce 1478  0.029 2.1238e-02
59 Pr 1582  0.027 0.015
60 Nd 1602  0.012 0.015
62 Sm 1590  0.004 1.4733e-02
