   Z      A      photo   error     CI    error
   1     1.008   12.00    0.00    8.22    0.04
   2     4.003   10.93    0.01    1.29    0.00
   3     6.941    1.05    0.10    3.26    0.05
   4     9.012    1.38    0.09    1.30    0.03
   5    10.811    2.70    0.20    2.79    0.04
   6    12.011    8.43    0.05    7.39    0.04
   7    14.007    7.83    0.05    6.26    0.06
   8    15.999    8.69    0.05    8.40    0.04
   9    18.998    4.56    0.30    4.42    0.06
  10    20.180    7.93    0.10   -1.12    0.00
  11    22.990    6.24    0.04    6.27    0.02
  12    24.305    7.60    0.04    7.53    0.01
  13    26.982    6.45    0.03    6.43    0.01
  14    28.086    7.51    0.03    7.51    0.01
  15    30.974    5.41    0.03    5.43    0.04
  16    32.065    7.12    0.03    7.15    0.02
  17    35.453    5.50    0.30    5.23    0.06
  18    39.948    6.40    0.13   -0.50    0.00
  19    39.098    5.03    0.09    5.08    0.02
  20    40.078    6.34    0.04    6.29    0.02
  21    44.956    3.15    0.04    3.05    0.02
  22    47.867    4.95    0.05    4.91    0.03
  23    50.942    3.93    0.08    3.96    0.02
  24    51.996    5.64    0.04    5.64    0.01
  25    54.938    5.43    0.04    5.48    0.01
  26    55.845    7.50    0.04    7.45    0.01
  27    58.933    4.99    0.07    4.87    0.01
  28    58.693    6.22    0.04    6.20    0.01
  29    63.546    4.19    0.04    4.25    0.04
  30    65.409    4.56    0.05    4.63    0.04
  31    69.723    3.04    0.09    3.08    0.02
  32    72.640    3.65    0.10    3.58    0.04
  33    74.922   -9.00    0.05    2.30    0.04
  34    78.960   -9.00    0.05    3.34    0.03
  35    79.904   -9.00    0.05    2.54    0.06
  36    83.798    3.25    0.06   -2.27    0.00
  37    85.468    2.52    0.10    2.36    0.03
  38    87.620    2.87    0.07    2.88    0.03
  39    88.906    2.21    0.05    2.17    0.04
  40    91.224    2.58    0.04    2.53    0.04
  41    92.906    1.46    0.04    1.41    0.04
  42    95.940    1.88    0.08    1.94    0.04
  43    98    0    0.0    0    0
  44   101.070    1.75    0.08    1.76    0.03
  45   102.906    0.91    0.10    1.06    0.04
  46   106.420    1.57    0.10    1.65    0.02
  47   107.868    0.94    0.10    1.20    0.02
  48   112.411   -9.00    0.11    1.71    0.03
  49   114.818    0.80    0.20    0.76    0.03
  50   118.710    2.04    0.09    2.07    0.06
  51   121.760   -9.00    0.05    1.01    0.06
  52   127.600   -9.00    0.05    2.18    0.03
  53   126.904   -9.00    0.05    1.55    0.08
  54   131.293    2.24    0.06   -1.95    0.00
  55   132.905   -9.00    0.05    1.08    0.02
  56   137.327    2.18    0.09    2.18    0.03
  57   138.906    1.10    0.04    1.17    0.02
  58   140.116    1.58    0.04    1.58    0.02
  59   140.908    0.72    0.04    0.76    0.03
  60   144.240    1.42    0.04    1.45    0.02
  61   145    0    0.0    0    0.0
  62   150.360    0.96    0.04    0.94    0.02
  63   151.964    0.52    0.04    0.51    0.02
  64   157.250    1.07    0.04    1.05    0.02
  65   158.925    0.30    0.10    0.32    0.03
  66   162.500    1.10    0.04    1.13    0.02
  67   164.930    0.48    0.11    0.47    0.03
  68   167.259    0.92    0.05    0.92    0.02
  69   168.934    0.10    0.04    0.12    0.03
  70   173.040    0.84    0.11    0.92    0.02
  71   174.967    0.10    0.09    0.09    0.02
  72   178.490    0.85    0.04    0.71    0.02
  73   180.948   -9.00    0.05   -0.16    0.04
  74   183.840    0.85    0.12    0.65    0.04
  75   186.207   -9.00    0.05    0.26    0.04
  76   190.230    1.40    0.08    1.35    0.03
  77   192.217    1.38    0.07    1.32    0.02
  78   195.078   -9.00    0.05    1.62    0.03
  79   196.967    0.92    0.10    0.80    0.04
  80   200.590   -9.00    0.05    1.17    0.08
  81   204.383    0.90    0.20    0.77    0.03
  82   207.200    1.75    0.10    2.04    0.03
  83   208.980   -9.00    0.05    0.65    0.04
